code,source_description,orthopedic_subsection,status,wrvu_status,wrvu_missing_reason,work_rvu,total_rvu,global_period_days,estimated_medicare_payment,cms_source_file
15336,"Acellular dermal allograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; each additional 100 sq cm, or each additional 1 per cent of body area of infants and",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15400,"Xenograft, skin dermal for temporary wound closure, trunk, arms, legs; first 100 sq cm less, or 1 per cent of body area of infants and children",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15401,"Xenograft, skin dermal for temporary wound closure, trunk, arms, legs; each additional 100 sq cm, or each additional 1 per cent of body area of infants and children, or part thereof List separately in addition",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15420,"Xenograft, skin dermal for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; first 100 sq cm or less, or 1 per cent of body area of infants",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15421,"Xenograft, skin dermal for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; each additional 100 sq cm, or each additional 1 per cent of",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15430,"Acellular xenograft implant; first 100 sq cm less, or 1 per cent of body area of infants and children",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15431,"Acellular xenograft implant; each additional 100 sq cm, or each additional 1 per cent of body area of infants and children, or part thereof List separately in addition to code for primary procedure",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15570,"Formation of direct or tubed pedicle, with or without transfer; trunk",Hand Surgery,already_present,verified,,9.95,29.38,90,981.32,PPRRVU2026_Jul_nonQPP.csv
15572,"Formation of direct or tubed pedicle, with or without transfer; scalp, arms, or legs",Hand Surgery,newly_added,verified,,9.87,20.06,90,670.02,PPRRVU2026_Jul_nonQPP.csv
15574,"Formation of direct or tubed pedicle, with or without transfer; forehead, cheeks, chin, mouth, neck,",Hand Surgery,newly_added,verified,,10.43,19.15,90,639.63,PPRRVU2026_Jul_nonQPP.csv
15600,Delay of flap or sectioning of flap (division and inset); at trunk,Hand Surgery,already_present,verified,,1.96,11.18,90,373.42,PPRRVU2026_Jul_nonQPP.csv
15610,"Delay of flap or sectioning of flap (division and inset); at scalp, arms or legs",Hand Surgery,newly_added,verified,,2.46,7.05,90,235.48,PPRRVU2026_Jul_nonQPP.csv
15650,"Transfer, intermediate, of any pedicle flap eg, abdomen to wrist, walking tube), any location",Hand Surgery,newly_added,verified,,4.65,11.46,90,382.77,PPRRVU2026_Jul_nonQPP.csv
15734,"Muscle, myocutaneous, or fasciocutaneous flap; trunk",Hand Surgery,already_present,verified,,22.43,41.52,90,1386.81,PPRRVU2026_Jul_nonQPP.csv
15736,"Muscle, myocutaneous, or fasciocutaneous flap; upper extremity",Hand Surgery,newly_added,verified,,16.61,33.27,90,1111.25,PPRRVU2026_Jul_nonQPP.csv
15738,"Muscle, myocutaneous, or fasciocutaneous flap; lower extremity",Hand Surgery,newly_added,verified,,18.56,34.38,90,1148.32,PPRRVU2026_Jul_nonQPP.csv
15740,Flap; island pedicle,Hand Surgery,newly_added,verified,,11.51,22.49,90,751.19,PPRRVU2026_Jul_nonQPP.csv
15750,Flap; neurovascular pedicle,Hand Surgery,newly_added,verified,,12.64,25.14,90,839.7,PPRRVU2026_Jul_nonQPP.csv
15756,Muscle or myocutaneous free flap (microvascular transfer),Hand Surgery,already_present,verified,,36.02,58.74,90,1961.97,PPRRVU2026_Jul_nonQPP.csv
15757,Free skin flap (microvascular transfer),Hand Surgery,already_present,verified,,36.22,58.25,90,1945.6,PPRRVU2026_Jul_nonQPP.csv
15758,Free fascia flap (microvascular transfer),Hand Surgery,newly_added,verified,,35.98,58.12,90,1941.26,PPRRVU2026_Jul_nonQPP.csv
15760,"Graft, composite including skin, including primary closure of donor area",Hand Surgery,already_present,verified,,9.61,25.67,90,857.4,PPRRVU2026_Jul_nonQPP.csv
15770,"Graft, composite including dermis‐fat‐fascia, including primary closure of donor area",Hand Surgery,newly_added,verified,,8.74,18.15,90,606.23,PPRRVU2026_Jul_nonQPP.csv
15850,"Removal of sutures under anesthesia (other than local), same surgeon",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15851,"Removal of sutures under anesthesia (other than local), other surgeon",Hand Surgery,newly_added,verified,,1.07,1.75,0,58.45,PPRRVU2026_Jul_nonQPP.csv
15852,Dressing change (for other than burns) under anesthesia (other than local),Hand Surgery,newly_added,verified,,0.84,1.16,0,38.75,PPRRVU2026_Jul_nonQPP.csv
15860,"Intravenous injection of agent eg, fluorescein) to test blood flow in flap or graft",Hand Surgery,newly_added,verified,,1.9,2.79,0,93.19,PPRRVU2026_Jul_nonQPP.csv
16000,"Initial treatment, first degree burn, when no more than local treatment is required",Hand Surgery,newly_added,verified,,0.87,1.26,0,42.09,PPRRVU2026_Jul_nonQPP.csv
16020,"Dressings and/or debridement, initial or subsequent; without anesthesia, office or hospital, small",Hand Surgery,already_present,verified,,0.69,2.78,0,92.85,PPRRVU2026_Jul_nonQPP.csv
16025,"Dressings and/or debridement, initial or subsequent; without anesthesia, medium eg, whole face or whole extremity)",Hand Surgery,already_present,verified,,1.7,4.96,0,165.67,PPRRVU2026_Jul_nonQPP.csv
16030,"Dressings and/or debridement, initial or subsequent; without anesthesia, large eg, more than one",Hand Surgery,already_present,verified,,2.03,6.4,0,213.77,PPRRVU2026_Jul_nonQPP.csv
16035,Escharotomy,Hand Surgery,already_present,verified,,3.65,5.35,0,178.69,PPRRVU2026_Jul_nonQPP.csv
16036,"Escharotomy, each additional incision List separately in addition to code for primary procedure",Hand Surgery,newly_added,verified,,1.46,2.2,0,73.48,PPRRVU2026_Jul_nonQPP.csv
17000,Destruction premalignint lesion,Hand Surgery,already_present,verified,,0.59,1.99,10,66.47,PPRRVU2026_Jul_nonQPP.csv
17250,"Chemical cauterization of granulation tissue (proud flesh, sinus or fistula)",Hand Surgery,already_present,verified,,0.49,2.7,0,90.18,PPRRVU2026_Jul_nonQPP.csv
17260,"Destruction, malignant lesion e.g. laser surgery, cryosurgery, chemosurgery, curettage trunk, arms or",Hand Surgery,already_present,verified,,0.94,2.9,10,96.86,PPRRVU2026_Jul_nonQPP.csv
17261,"Destruction, malignant lesion e.g. laser surgery, cryosurgery, chemosurgery, curettage trunk, arms or",Hand Surgery,already_present,verified,,1.19,4.32,10,144.29,PPRRVU2026_Jul_nonQPP.csv
17262,"Destruction, malignant lesion e.g. laser surgery, cryosurgery, chemosurgery, curettage trunk, arms or",Hand Surgery,already_present,verified,,1.59,5.2,10,173.68,PPRRVU2026_Jul_nonQPP.csv
17263,"Destruction, malignant lesion e.g. laser surgery, cryosurgery, chemosurgery, curettage trunk, arms or",Hand Surgery,already_present,verified,,1.79,5.64,10,188.38,PPRRVU2026_Jul_nonQPP.csv
17264,"Destruction, malignant lesion e.g. laser surgery, cryosurgery, chemosurgery, curettage trunk, arms or",Hand Surgery,already_present,verified,,1.94,6.05,10,202.08,PPRRVU2026_Jul_nonQPP.csv
17266,"Destruction, malignant lesion e.g. laser surgery, cryosurgery, chemosurgery, curettage trunk, arms or",Hand Surgery,already_present,verified,,2.33,6.9,10,230.47,PPRRVU2026_Jul_nonQPP.csv
17270,"Destruction, malignant lesion e.g. laser surgery, cryosurgery, chemosurgery, curettage hands; lesion",Hand Surgery,already_present,verified,,1.34,4.4,10,146.96,PPRRVU2026_Jul_nonQPP.csv
