surface,code,modifier,wrvu,location
index_specs,44207,,31.12,General Surgery[242]
index_specs,44208,,33.14,General Surgery[243]
index_specs,44210,,29.34,General Surgery[244]
index_specs,44211,,36.15,General Surgery[245]
index_specs,44212,,33.72,General Surgery[246]
index_specs,44310,,17.15,General Surgery[247]
index_specs,44604,,17.71,General Surgery[248]
index_specs,44625,,16.85,General Surgery[249]
index_specs,44800,,11.75,General Surgery[250]
index_specs,44950,,10.34,General Surgery[251]
index_specs,44955,,1.49,General Surgery[252]
index_specs,44979,,0.0,General Surgery[253]
index_specs,45110,,29.99,General Surgery[254]
index_specs,45111,,17.56,General Surgery[255]
index_specs,45112,,32.35,General Surgery[256]
index_specs,45113,,32.39,General Surgery[257]
index_specs,45114,,30.02,General Surgery[258]
index_specs,45116,,27.03,General Surgery[259]
index_specs,45119,,32.64,General Surgery[260]
index_specs,45120,,25.74,General Surgery[261]
index_specs,45121,,28.35,General Surgery[262]
index_specs,45123,,18.39,General Surgery[263]
index_specs,0184T,,0.0,General Surgery[264]
index_specs,45130,,18.04,General Surgery[265]
index_specs,45135,,21.8,General Surgery[266]
index_specs,45160,,15.92,General Surgery[267]
index_specs,45378,,3.18,General Surgery[268]
index_specs,45380,,3.47,General Surgery[269]
index_specs,45385,,4.46,General Surgery[270]
index_specs,45389,,5.11,General Surgery[271]
index_specs,45540,,17.67,General Surgery[272]
index_specs,46080,,2.46,General Surgery[273]
index_specs,46200,,3.5,General Surgery[274]
index_specs,46270,,4.8,General Surgery[275]
index_specs,46275,,5.28,General Surgery[276]
index_specs,46285,,5.28,General Surgery[277]
index_specs,47564,,17.55,General Surgery[278]
index_specs,47610,,20.4,General Surgery[279]
index_specs,47760,,37.36,General Surgery[280]
index_specs,48100,,14.1,General Surgery[281]
index_specs,48105,,48.03,General Surgery[282]
index_specs,48120,,17.95,General Surgery[283]
index_specs,48145,,26.71,General Surgery[284]
index_specs,48146,,29.84,General Surgery[285]
index_specs,48148,,19.88,General Surgery[286]
index_specs,48155,,28.71,General Surgery[287]
index_specs,43020,,8.02,General Surgery[288]
index_specs,43030,,7.79,General Surgery[289]
index_specs,43045,,21.33,General Surgery[290]
index_specs,45126,,47.87,General Surgery[291]
index_specs,45171,,7.93,General Surgery[292]
index_specs,45172,,11.83,General Surgery[293]
index_specs,45395,,32.18,General Surgery[294]
index_specs,46020,,1.81,General Surgery[295]
index_specs,46040,,5.24,General Surgery[296]
index_specs,46050,,1.21,General Surgery[297]
index_specs,46060,,6.21,General Surgery[298]
index_specs,46083,,1.41,General Surgery[299]
index_specs,46220,,1.57,General Surgery[300]
index_specs,46221,,2.3,General Surgery[301]
index_specs,46250,,4.14,General Surgery[302]
index_specs,46255,,4.84,General Surgery[303]
