surface,code,modifier,wrvu,location
index_specs,46257,,5.62,General Surgery[304]
index_specs,46258,,6.25,General Surgery[305]
index_specs,46260,,6.56,General Surgery[306]
index_specs,46261,,7.57,General Surgery[307]
index_specs,46262,,7.71,General Surgery[308]
index_specs,46280,,6.23,General Surgery[309]
index_specs,46947,,5.43,General Surgery[310]
index_specs,47605,,18.02,General Surgery[311]
index_specs,48102,,4.58,General Surgery[312]
index_specs,48152,,47.43,General Surgery[313]
index_specs,48154,,47.66,General Surgery[314]
index_specs,48160,,0.0,General Surgery[315]
index_specs,48510,,16.76,General Surgery[316]
index_specs,49013,,8.14,General Surgery[317]
index_specs,49060,,18.07,General Surgery[318]
index_specs,49082,,1.21,General Surgery[319]
index_specs,49083,,1.95,General Surgery[320]
index_specs,49255,,12.25,General Surgery[321]
index_specs,49405,,3.9,General Surgery[322]
index_specs,49406,,3.9,General Surgery[323]
index_specs,49440,,3.83,General Surgery[324]
index_specs,49491,,12.22,General Surgery[325]
index_specs,49495,,6.05,General Surgery[326]
index_specs,49496,,9.18,General Surgery[327]
index_specs,49501,,9.13,General Surgery[328]
index_specs,49540,,10.47,General Surgery[329]
index_specs,49592,,8.25,General Surgery[330]
index_specs,49594,,13.12,General Surgery[331]
index_specs,49613,,7.23,General Surgery[332]
index_specs,49614,,9.99,General Surgery[333]
index_specs,49615,,11.17,General Surgery[334]
index_specs,49616,,15.16,General Surgery[335]
index_specs,38101,,19.06,General Surgery[336]
index_specs,40490,,1.19,General Surgery[337]
index_specs,41120,,10.86,General Surgery[338]
index_specs,41130,,15.35,General Surgery[339]
index_specs,41800,,1.24,General Surgery[340]
index_specs,41899,,0.0,General Surgery[341]
index_specs,42300,,1.93,General Surgery[342]
index_specs,42305,,6.15,General Surgery[343]
index_specs,42310,,1.57,General Surgery[344]
index_specs,42330,,2.2,General Surgery[345]
index_specs,42335,,3.32,General Surgery[346]
index_specs,42400,,0.76,General Surgery[347]
index_specs,42408,,4.54,General Surgery[348]
index_specs,42410,,9.33,General Surgery[349]
index_specs,42425,,13.08,General Surgery[350]
index_specs,42440,,5.99,General Surgery[351]
index_specs,42450,,4.62,General Surgery[352]
index_specs,42820,,4.11,General Surgery[353]
index_specs,42821,,4.25,General Surgery[354]
index_specs,42825,,3.42,General Surgery[355]
index_specs,42826,,3.36,General Surgery[356]
index_specs,42830,,2.58,General Surgery[357]
index_specs,42831,,2.74,General Surgery[358]
index_specs,42835,,2.32,General Surgery[359]
index_specs,42836,,3.18,General Surgery[360]
index_specs,43248,,2.84,General Surgery[361]
