code,modifier,canonical_key,work_rvu,status_indicator,global_indicator,description,source_file,source_year
D7943,,D7943|,0.00,R,YYY,Cutting ramus open w/graft,PPRRVU2026_Apr_nonQPP.csv,2026
D7944,,D7944|,0.00,R,YYY,Bone cutting segmented,PPRRVU2026_Apr_nonQPP.csv,2026
D7945,,D7945|,0.00,R,YYY,Bone cutting body mandible,PPRRVU2026_Apr_nonQPP.csv,2026
D7946,,D7946|,0.00,R,YYY,Reconstruction maxilla total,PPRRVU2026_Apr_nonQPP.csv,2026
D7947,,D7947|,0.00,R,YYY,Reconstruct maxilla segment,PPRRVU2026_Apr_nonQPP.csv,2026
D7948,,D7948|,0.00,R,YYY,Reconstruct midface no graft,PPRRVU2026_Apr_nonQPP.csv,2026
D7949,,D7949|,0.00,R,YYY,Reconstruct midface w/graft,PPRRVU2026_Apr_nonQPP.csv,2026
D7950,,D7950|,0.00,R,YYY,Mandible graft,PPRRVU2026_Apr_nonQPP.csv,2026
D7951,,D7951|,0.00,R,YYY,Sinus aug w bone or bone sub,PPRRVU2026_Apr_nonQPP.csv,2026
D7952,,D7952|,0.00,R,YYY,Sinus augmentation vertical,PPRRVU2026_Apr_nonQPP.csv,2026
D7953,,D7953|,0.00,R,YYY,Bone replacement graft,PPRRVU2026_Apr_nonQPP.csv,2026
D7955,,D7955|,0.00,R,YYY,Repair maxillofacial defects,PPRRVU2026_Apr_nonQPP.csv,2026
D7956,,D7956|,0.00,R,YYY,Tiss regen edent resorb,PPRRVU2026_Apr_nonQPP.csv,2026
D7957,,D7957|,0.00,R,YYY,Tiss regen edent nonresorb,PPRRVU2026_Apr_nonQPP.csv,2026
D7961,,D7961|,0.00,R,YYY,Buccal/labial frenectomy,PPRRVU2026_Apr_nonQPP.csv,2026
D7962,,D7962|,0.00,R,YYY,Lingual frenectomy,PPRRVU2026_Apr_nonQPP.csv,2026
D7963,,D7963|,0.00,R,YYY,Frenuloplasty,PPRRVU2026_Apr_nonQPP.csv,2026
D7970,,D7970|,0.00,R,YYY,Excision hyperplastic tissue,PPRRVU2026_Apr_nonQPP.csv,2026
D7971,,D7971|,0.00,R,YYY,Excision pericoronal gingiva,PPRRVU2026_Apr_nonQPP.csv,2026
D7972,,D7972|,0.00,R,YYY,Surg redct fibrous tuberosit,PPRRVU2026_Apr_nonQPP.csv,2026
D7979,,D7979|,0.00,R,YYY,Non-surgical sialolithotomy,PPRRVU2026_Apr_nonQPP.csv,2026
D7980,,D7980|,0.00,R,YYY,Surgical sialolithotomy,PPRRVU2026_Apr_nonQPP.csv,2026
D7981,,D7981|,0.00,R,YYY,Excision of salivary gland,PPRRVU2026_Apr_nonQPP.csv,2026
D7982,,D7982|,0.00,R,YYY,Sialodochoplasty,PPRRVU2026_Apr_nonQPP.csv,2026
D7983,,D7983|,0.00,R,YYY,Closure of salivary fistula,PPRRVU2026_Apr_nonQPP.csv,2026
D7990,,D7990|,0.00,R,YYY,Emergency tracheotomy,PPRRVU2026_Apr_nonQPP.csv,2026
