source,code,old_wrvu,new_wrvu,cms_year,cms_source_filename,cms_release,imported_at
index.html:SPECS,38724,16.85,23.35,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,38740,9.25,10.43,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,38745,14.55,13.52,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,38760,15.85,13.28,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,39402,10.85,7.07,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,39501,15.85,13.63,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,39503,22.85,106.19,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,39540,20.42,14.21,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,39560,22.42,12.73,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43100,14.22,9.42,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43101,20.42,16.64,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43107,35.47,50.75,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43108,39.28,80.80,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43112,39.28,60.45,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43116,33.79,90.67,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43117,35.47,56.06,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43118,38.28,65.39,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43121,36.28,50.14,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43122,38.28,43.08,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43124,30.41,67.36,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43130,12.37,12.22,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43135,18.55,25.52,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43180,3,8.80,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43191,2.09,2.43,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,43197,1.9,1.48,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
