code,description,status,work_rvu,facility_pe_rvu,mp_rvu,global_days,conversion_factor
A4396,Peristomal hernia supprt blt,X,0.00,0.00,0.00,XXX,33.4009
A4398,Ostomy irrigation bag,P,0.00,0.00,0.00,XXX,33.4009
A4399,Ostomy irrig cone/cath w brs,P,0.00,0.00,0.00,XXX,33.4009
A4400,Ostomy irrigation set,P,0.00,0.00,0.00,XXX,33.4009
A4402,Lubricant per ounce,P,0.00,0.00,0.00,XXX,33.4009
A4404,Ostomy ring each,P,0.00,0.00,0.00,XXX,33.4009
A4405,Nonpectin based ostomy paste,X,0.00,0.00,0.00,XXX,33.4009
A4406,Pectin based ostomy paste,X,0.00,0.00,0.00,XXX,33.4009
A4407,"Ext wear ost skn barr <=4sq""",X,0.00,0.00,0.00,XXX,33.4009
A4408,"Ext wear ost skn barr >4sq""",X,0.00,0.00,0.00,XXX,33.4009
A4409,Ost skn barr convex <=4 sq i,X,0.00,0.00,0.00,XXX,33.4009
A4410,Ost skn barr extnd >4 sq,X,0.00,0.00,0.00,XXX,33.4009
A4411,Ost skn barr extnd =4sq,X,0.00,0.00,0.00,XXX,33.4009
A4412,Ost pouch drain high output,X,0.00,0.00,0.00,XXX,33.4009
A4413,2 pc drainable ost pouch,X,0.00,0.00,0.00,XXX,33.4009
A4414,Ost sknbar w/o conv<=4 sq in,X,0.00,0.00,0.00,XXX,33.4009
A4415,Ost skn barr w/o conv >4 sqi,X,0.00,0.00,0.00,XXX,33.4009
A4416,Ost pch clsd w barrier/filtr,X,0.00,0.00,0.00,XXX,33.4009
A4417,Ost pch w bar/bltinconv/fltr,X,0.00,0.00,0.00,XXX,33.4009
A4418,Ost pch clsd w/o bar w filtr,X,0.00,0.00,0.00,XXX,33.4009
A4419,Ost pch for bar w flange/flt,X,0.00,0.00,0.00,XXX,33.4009
A4420,Ost pch clsd for bar w lk fl,X,0.00,0.00,0.00,XXX,33.4009
A4421,Ostomy supply misc,X,0.00,0.00,0.00,XXX,33.4009
A4422,Ost pouch absorbent material,X,0.00,0.00,0.00,XXX,33.4009
A4423,Ost pch for bar w lk fl/fltr,X,0.00,0.00,0.00,XXX,33.4009
A4424,Ost pch drain w bar & filter,X,0.00,0.00,0.00,XXX,33.4009
A4425,Ost pch drain for barrier fl,X,0.00,0.00,0.00,XXX,33.4009
A4426,Ost pch drain 2 piece system,X,0.00,0.00,0.00,XXX,33.4009
A4427,Ost pch drain/barr lk flng/f,X,0.00,0.00,0.00,XXX,33.4009
A4428,Urine ost pouch w faucet/tap,X,0.00,0.00,0.00,XXX,33.4009
A4429,Urine ost pouch w bltinconv,X,0.00,0.00,0.00,XXX,33.4009
A4430,Ost urine pch w b/bltin conv,X,0.00,0.00,0.00,XXX,33.4009
A4431,Ost pch urine w barrier/tapv,X,0.00,0.00,0.00,XXX,33.4009
A4432,Os pch urine w bar/fange/tap,X,0.00,0.00,0.00,XXX,33.4009
A4433,Urine ost pch bar w lock fln,X,0.00,0.00,0.00,XXX,33.4009
A4434,Ost pch urine w lock flng/ft,X,0.00,0.00,0.00,XXX,33.4009
A4435,1pc ost pch drain hgh output,X,0.00,0.00,0.00,XXX,33.4009
A4436,Irr supply sleev reus per mo,P,0.00,0.00,0.00,XXX,33.4009
A4437,Irr supply sleev disp per mo,P,0.00,0.00,0.00,XXX,33.4009
A4438,Adhesive clip ext ens contr,X,0.00,0.00,0.00,XXX,33.4009
A4450,Non-waterproof tape,X,0.00,0.00,0.00,XXX,33.4009
A4452,Waterproof tape,X,0.00,0.00,0.00,XXX,33.4009
A4453,"Rec cath any transanal, each",X,0.00,0.00,0.00,XXX,33.4009
A4455,Adhesive remover per ounce,P,0.00,0.00,0.00,XXX,33.4009
A4456,"Adhesive remover, wipes",X,0.00,0.00,0.00,XXX,33.4009
