code,description,status,work_rvu,facility_pe_rvu,mp_rvu,global_days,conversion_factor
75605,Contrast exam thoracic aorta,A,0.00,2.04,0.02,XXX,33.4009
75625,Contrast exam abdominl aorta,A,0.00,1.77,0.01,XXX,33.4009
75630,X-ray aorta leg arteries,A,0.00,1.91,0.02,XXX,33.4009
75635,Ct angio abdominal arteries,A,0.00,8.98,0.05,XXX,33.4009
75705,Artery x-rays spine,A,0.00,5.00,0.03,XXX,33.4009
75710,Artery x-rays arm/leg,A,0.00,2.04,0.02,XXX,33.4009
75716,Artery x-rays arms/legs,A,0.00,2.15,0.02,XXX,33.4009
75726,Artery x-rays abdomen,A,0.00,2.28,0.02,XXX,33.4009
75731,Artery x-rays adrenal gland,A,0.00,2.92,0.03,XXX,33.4009
75733,Artery x-rays adrenals,A,0.00,3.41,0.04,XXX,33.4009
75736,Artery x-rays pelvis,A,0.00,2.76,0.03,XXX,33.4009
75741,Artery x-rays lung,A,0.00,2.06,0.02,XXX,33.4009
75743,Artery x-rays lungs,A,0.00,2.12,0.02,XXX,33.4009
75746,Artery x-rays lung,A,0.00,2.47,0.02,XXX,33.4009
75756,Artery x-rays chest,A,0.00,3.36,0.03,XXX,33.4009
75774,Artery x-ray each vessel,A,0.00,1.51,0.01,ZZZ,33.4009
75801,Lymph vessel x-ray arm/leg,C,0.00,0.00,0.00,XXX,33.4009
75803,Lymph vessel x-ray arms/legs,C,0.00,0.00,0.00,XXX,33.4009
75805,Lymph vessel x-ray trunk,C,0.00,0.00,0.00,XXX,33.4009
75807,Lymph vessel x-ray trunk,C,0.00,0.00,0.00,XXX,33.4009
75809,Nonvascular shunt x-ray,A,0.00,1.84,0.01,XXX,33.4009
75810,Vein x-ray spleen/liver,C,0.00,0.00,0.00,XXX,33.4009
75820,Vein x-ray arm/leg,A,0.00,1.76,0.01,XXX,33.4009
75822,Vein x-ray arms/legs,A,0.00,1.96,0.01,XXX,33.4009
75825,Vein x-ray trunk,A,0.00,1.83,0.01,XXX,33.4009
75827,Vein x-ray chest,A,0.00,1.97,0.01,XXX,33.4009
75831,Vein x-ray kidney,A,0.00,2.04,0.02,XXX,33.4009
75833,Vein x-ray kidneys,A,0.00,2.52,0.02,XXX,33.4009
75840,Vein x-ray adrenal gland,A,0.00,2.17,0.02,XXX,33.4009
75860,Vein x-ray neck,A,0.00,2.26,0.02,XXX,33.4009
75870,Vein x-ray skull,A,0.00,3.62,0.02,XXX,33.4009
75872,Vein x-ray skull epidural,A,0.00,2.17,0.02,XXX,33.4009
75880,Vein x-ray eye socket,A,0.00,2.16,0.02,XXX,33.4009
75885,Vein x-ray liver w/hemodynam,A,0.00,2.13,0.02,XXX,33.4009
75887,Vein x-ray liver w/o hemodyn,A,0.00,2.14,0.02,XXX,33.4009
75889,Vein x-ray liver w/hemodynam,A,0.00,2.14,0.02,XXX,33.4009
75891,Vein x-ray liver,A,0.00,2.15,0.02,XXX,33.4009
75893,Venous sampling by catheter,A,0.00,2.51,0.02,XXX,33.4009
75894,X-rays transcath therapy,A,0.00,5.63,0.03,XXX,33.4009
75898,Follow-up angiography,A,0.00,4.97,0.02,XXX,33.4009
75901,Remove cva device obstruct,A,0.00,6.13,0.02,XXX,33.4009
75902,Remove cva lumen obstruct,A,0.00,2.03,0.01,XXX,33.4009
75970,Vascular biopsy,C,0.00,0.00,0.00,XXX,33.4009
75984,Xray control catheter change,A,0.00,1.69,0.01,XXX,33.4009
76014,Mr sfty implt&/fb asmt stf 1,A,0.00,0.32,0.01,XXX,33.4009
76015,Mr sfty mplt&/fb asmt stf ea,A,0.00,1.53,0.06,ZZZ,33.4009
76016,Mr safety deter phys/qhp,A,0.00,1.30,0.02,XXX,33.4009
76017,Mr sfty med physics xm cstmz,A,0.00,5.53,0.07,XXX,33.4009
76018,Mr safety implant elec prepj,A,0.00,2.40,0.01,XXX,33.4009
